employee_id,department,location,job_level,employment_type,hiring_source,education,age,hire_date,exit_date,employment_status,exit_reason,time_to_hire_days,monthly_salary,commute_km,monthly_overtime_hours,engagement_score,performance_rating
EMP-0129,Marketing,Jakarta,Staff,Contract,LinkedIn,SMA/SMK,29,2025-08-03,,Active,,20,7000000,10.0,0,3.8,Meets Expectations
EMP-0130,Operations,Bandung,Staff,Permanent,Job Portal,S1,22,2025-09-02,,Active,,9,7800000,7.9,17.8,2.8,Exceeds Expectations
EMP-0131,IT & Data,Bogor,Staff,Permanent,Internal Mobility,S1,21,2025-10-29,,Active,,9,14200000,14.0,20.3,2.0000000000000004,Meets Expectations
EMP-0132,Sales,Bogor,Staff,Contract,Internal Mobility,SMA/SMK,37,2025-02-06,,Active,,10,7600000,8.3,15.9,3.9000000000000004,Meets Expectations
EMP-0133,Sales,Surabaya,Senior Staff,Permanent,Referral,S2,27,2024-09-13,,Active,,21,7200000,17.5,15.2,3.4000000000000004,Exceeds Expectations
EMP-0134,Human Resources,Jakarta,Staff,Permanent,Campus Hiring,S1,32,2025-08-26,,Active,,28,11000000,14.1,2.4,2.9,Meets Expectations
EMP-0135,Sales,Jakarta,Senior Staff,Permanent,LinkedIn,SMA/SMK,35,2025-04-11,2025-10-11,Exited,Career Growth,21,7400000,13.8,14.8,3.5,Meets Expectations
EMP-0136,Operations,Jakarta,Staff,Permanent,LinkedIn,D3,24,2025-10-20,,Active,,31,7000000,13.3,13.6,3.1,Meets Expectations
EMP-0137,Customer Service,Bandung,Senior Staff,Permanent,Referral,S1,22,2024-10-22,,Active,,13,6900000,2.1,19.2,3.0000000000000004,Needs Improvement
EMP-0138,Human Resources,Bandung,Manager,Contract,Job Portal,S1,29,2025-09-06,,Active,,27,19100000,4.9,26.3,3.8000000000000003,Meets Expectations
EMP-0139,Customer Service,Bogor,Supervisor,Permanent,Agency,S1,28,2024-04-01,2024-07-09,Exited,Compensation,20,11500000,4.2,19.6,3.6,Meets Expectations
EMP-0140,Finance,Bandung,Staff,Contract,Referral,S1,26,2024-07-20,,Active,,21,10600000,1,28.0,3.1,Meets Expectations
EMP-0141,Sales,Bogor,Supervisor,Permanent,Campus Hiring,S1,25,2025-08-18,,Active,,32,14800000,10.9,25.1,3.4,Meets Expectations
EMP-0142,Customer Service,Bogor,Staff,Permanent,Campus Hiring,S1,20,2025-09-17,,Active,,30,8000000,5.5,17.1,2.9,Meets Expectations
EMP-0143,Marketing,Bandung,Staff,Permanent,Job Portal,S2,26,2024-06-30,,Active,,28,11100000,15.9,19.0,3.0,Meets Expectations
EMP-0144,Customer Service,Bogor,Staff,Contract,Agency,SMA/SMK,25,2024-08-28,2025-01-21,Exited,Workload,33,8000000,8.4,23.7,2.3000000000000003,Meets Expectations
EMP-0145,Finance,Jakarta,Supervisor,Contract,Campus Hiring,D3,20,2024-02-17,,Active,,27,15100000,1.1,13.9,3.5,Meets Expectations
EMP-0146,IT & Data,Jakarta,Manager,Contract,Job Portal,S2,20,2024-04-19,,Active,,30,16700000,18.3,9.8,4.6,Meets Expectations
EMP-0147,Human Resources,Jakarta,Staff,Permanent,LinkedIn,D3,20,2025-09-05,,Active,,23,9100000,18.6,15.4,4.4,Meets Expectations
EMP-0148,Marketing,Jakarta,Supervisor,Permanent,Campus Hiring,D3,29,2024-06-28,,Active,,30,12600000,21.8,16.0,3.9,Needs Improvement
EMP-0149,Operations,Jakarta,Manager,Permanent,Campus Hiring,S1,22,2025-01-01,,Active,,32,9800000,22.0,24.1,3.5,Needs Improvement
EMP-0150,Sales,Jakarta,Staff,Permanent,Job Portal,S1,31,2025-06-13,,Active,,30,6100000,20.2,23.0,2.8000000000000003,Meets Expectations
EMP-0151,Finance,Jakarta,Staff,Permanent,Job Portal,S2,22,2025-10-04,,Active,,32,11300000,12.2,8.8,3.6,Exceeds Expectations
EMP-0152,Operations,Jakarta,Senior Staff,Permanent,Internal Mobility,D3,33,2024-05-29,,Active,,11,7600000,20.4,5.1,4.7,Meets Expectations
EMP-0153,Sales,Jakarta,Staff,Permanent,Campus Hiring,S1,31,2025-11-08,,Active,,34,5800000,23.3,5.3,3.7,Exceeds Expectations
EMP-0154,Customer Service,Bogor,Manager,Permanent,Referral,SMA/SMK,35,2024-08-15,,Active,,14,11100000,11.5,24.2,3.6,Meets Expectations
EMP-0155,IT & Data,Jakarta,Staff,Permanent,Job Portal,S1,22,2024-06-27,,Active,,34,17900000,1,19.3,1.8000000000000003,Needs Improvement
EMP-0156,Sales,Bandung,Senior Staff,Permanent,LinkedIn,S1,27,2025-11-03,,Active,,23,13300000,3.2,12.4,3.8,Meets Expectations
EMP-0157,Operations,Bandung,Staff,Contract,LinkedIn,S1,22,2024-11-10,,Active,,19,9900000,15.9,11.5,2.6,Meets Expectations
EMP-0158,Sales,Surabaya,Manager,Contract,LinkedIn,SMA/SMK,35,2024-12-06,2025-11-26,Exited,Contract End,16,16200000,13.8,18.6,2.5,Needs Improvement
EMP-0159,Operations,Surabaya,Staff,Permanent,Job Portal,D3,33,2024-04-24,,Active,,29,9000000,8.6,2.8,4.3,Exceeds Expectations
EMP-0160,Marketing,Bandung,Staff,Permanent,Referral,S1,34,2024-05-31,2025-07-27,Exited,Career Growth,11,13500000,11.3,12.7,3.4000000000000004,Exceeds Expectations
EMP-0161,Operations,Jakarta,Staff,Permanent,Referral,S1,24,2025-08-24,2025-12-30,Exited,Compensation,20,9700000,16.6,4.6,4.5,Exceeds Expectations
EMP-0162,IT & Data,Jakarta,Staff,Permanent,Internal Mobility,SMA/SMK,22,2024-09-23,,Active,,14,12300000,10.6,0.2,3.6,Meets Expectations
EMP-0163,Customer Service,Surabaya,Staff,Permanent,Internal Mobility,S1,32,2025-07-11,,Active,,15,6600000,11.3,24.3,2.7,Meets Expectations
EMP-0164,Human Resources,Bandung,Senior Staff,Permanent,Agency,S1,27,2024-09-24,,Active,,26,12100000,6.5,14.7,3.6,Meets Expectations
EMP-0165,Operations,Jakarta,Staff,Permanent,Job Portal,S1,20,2025-04-23,2025-07-23,Exited,Career Growth,22,6900000,25.4,16.7,2.9,Meets Expectations
EMP-0166,Operations,Jakarta,Senior Staff,Permanent,Job Portal,S1,34,2024-11-02,,Active,,27,8300000,26.5,18.8,2.3000000000000003,Meets Expectations
EMP-0167,Human Resources,Surabaya,Staff,Permanent,LinkedIn,S1,33,2024-04-01,,Active,,22,9600000,12.1,17.9,3.5,Meets Expectations
EMP-0168,Finance,Bogor,Staff,Permanent,Internal Mobility,SMA/SMK,26,2024-02-22,,Active,,12,9700000,5.0,7.6,4.9,Exceeds Expectations
EMP-0169,Finance,Jakarta,Staff,Permanent,Campus Hiring,S1,39,2024-08-20,,Active,,28,7200000,13.3,9.1,3.3,Exceeds Expectations
EMP-0170,Customer Service,Jakarta,Supervisor,Contract,LinkedIn,S1,30,2024-12-14,,Active,,28,12000000,5.1,21.7,3.6999999999999997,Exceeds Expectations
EMP-0171,Finance,Jakarta,Senior Staff,Permanent,LinkedIn,SMA/SMK,24,2024-03-03,,Active,,31,14100000,16.2,12.1,3.7,Meets Expectations
